Month	Date	Status	Title	Platform(s)	Genre(s)	Publisher(s)
Mar	15/03/2011		God Eater: Burst	PSP		
Mar	15/03/2011		Hard Corps: Uprising	PS3		
Mar	15/03/2011		Homefront	Win, X360, PS3		
Mar	15/03/2011		Jikandia: The Timeless Land	PSP		
Mar	15/03/2011		Ōkamiden	NDS		
Mar	15/03/2011		Slam Bolt Scrappers	PSN		
Mar	15/03/2011		Top Spin 4	PS3, X360, Wii		
Mar	15/03/2011		Total War: Shogun 2	Win		
Mar	15/03/2011		Warriors: Legends of Troy	X360, PS3		
Mar	15/03/2011		Yakuza 4	PS3		
Mar	17/03/2011		Dance on Broadway	PS3		
Mar	22/03/2011		Angry Birds Rio	Mac, iOS		
Mar	22/03/2011		Assassin's Creed: Brotherhood	Win		
Mar	22/03/2011		Crysis 2	Win, PS3, X360		
Mar	22/03/2011		Dissidia 012 Final Fantasy	PSP		
Mar	22/03/2011		Forget-Me-Not	iOS		
Mar	22/03/2011		Lego Star Wars III: The Clone Wars	Win, X360, PS3, PSP, Wii, NDS		
Mar	22/03/2011		Monster Tale	NDS		
Mar	22/03/2011		Naruto Shippuden: Kizuna Drive	PSP		
Mar	22/03/2011		PlayStation Move Heroes	PS3		
Mar	22/03/2011		The Sims Medieval	Win, Mac		
Mar	22/03/2011		Swarm	PSN		
Mar	22/03/2011		The Tomb Raider Trilogy	PS3		
Mar	23/03/2011		Ghostbusters: Sanctum of Slime	Win, XBLA, PSN		
Mar	23/03/2011		Swarm	XBLA		
Mar	24/03/2011		Final Fantasy III	iOS		
Mar	26/03/2011		Great Little War Game	iOS		
Mar	27/03/2011		Asphalt 3D	3DS		
Mar	27/03/2011		Bust-A-Move Universe	3DS		
Mar	27/03/2011		Combat of Giants: Dinosaurs 3D	3DS		
Mar	27/03/2011		Lego Star Wars III: The Clone Wars	3DS		
Mar	27/03/2011		Madden NFL Football	3DS		
Mar	27/03/2011		Nintendogs + Cats	3DS		
Mar	27/03/2011		Pilotwings Resort	3DS		
Mar	27/03/2011		Pro Evolution Soccer 2011	3DS		
Mar	27/03/2011		Rayman 3D	3DS		
Mar	27/03/2011		Ridge Racer 3D	3DS		
Mar	27/03/2011		Samurai Warriors: Chronicles	3DS		
Mar	27/03/2011		The Sims 3	3DS		
Mar	27/03/2011		Steel Diver	3DS		
Mar	27/03/2011		Super Monkey Ball 3D	3DS		
Mar	27/03/2011		Super Street Fighter IV: 3D Edition	3DS		
Mar	27/03/2011		Tom Clancy's Ghost Recon: Shadow Wars	3DS		
Mar	29/03/2011		The 3rd Birthday	PSP		
Mar	29/03/2011		Chime Super Deluxe	PSN		
Mar	29/03/2011		Dynasty Warriors 7	PS3, X360		
Mar	29/03/2011		Johnny Test	3DS, NDS, PS3, PS2, PSP, Wii, X360		
Mar	29/03/2011		The Legend of Heroes: Trails in the Sky	PSP		
Mar	29/03/2011		NASCAR The Game: 2011	X360, PS3, Wii		
Mar	29/03/2011		Rush'n Attack: Ex-Patriot	PSN		
Mar	29/03/2011		Shift 2: Unleashed	Win, PS3, X360		
Mar	29/03/2011		Tiger Woods PGA Tour 12	PS3, X360, Wii		
Mar	29/03/2011		WWE All Stars	PS2, PS3, PSP, X360, Wii		
Mar	30/03/2011		Islands of Wakfu	XBLA		
Mar	30/03/2011		Rush'n Attack: Ex-Patriot	XBLA		
Mar	31/03/2011		TNT Racers	PSP, Wii		
Apr	03/04/2011		Dungeon Hunter: Alliance	PSN		
Apr	04/04/2011		Absolute Baseball	DSiWare		
Apr	04/04/2011		Spiral Knights	Win		
Apr	06/04/2011		The Dishwasher: Vampire Smile	XBLA		
Apr	08/04/2011		Anomaly: Warzone Earth	Win		
Apr	10/04/2011		Rabbids: Travel In Time 3D	3DS		
Apr	10/04/2011		SpongeBob SquigglePants	Wii		
Apr	10/04/2011		Tom Clancy's Splinter Cell: Chaos Theory	3DS		
Apr	11/04/2011		Limbo	X360		
Apr	12/04/2011		Divinity II: The Dragon Knight Saga	X360		
Apr	12/04/2011		Lego Battles: Ninjago	NDS		
Apr	12/04/2011		Michael Jackson: The Experience	X360, PS3		
Apr	12/04/2011		Might & Magic: Clash of Heroes	PS3		
Apr	12/04/2011		Patapon 3	PSP		
Apr	12/04/2011		Rio	PS3, X360, NDS, Wii		
Apr	12/04/2011		World of Tanks	Win		
Apr	14/04/2011		Resident Evil: Mercenaries Vs.	iOS		
Apr	17/04/2011		Tom Clancy's Rainbow Six: Shadow Vanguard	iOS		
Apr	19/04/2011		Arcana Heart 3	PS3		
Apr	19/04/2011		Conduit 2	Wii		
Apr	19/04/2011		Fancy Pants Adventures	PSN		
Apr	19/04/2011		Final Fantasy IV: The Complete Collection	PSP		
Apr	19/04/2011		Mad Blocker Alpha	PS3, PSP		
Apr	19/04/2011		Mortal Kombat	PS3, X360		
Apr	19/04/2011		Portal 2	Win, Mac, PS3, X360		
Apr	19/04/2011		SOCOM 4: U.S. Navy SEALs	PS3		
Apr	20/04/2011		Fancy Pants Adventures	XBLA		
Apr	24/04/2011		Dream Chronicles: The Book of Water	Win		
Apr	26/04/2011		Darkspore	Win		
Apr	26/04/2011		Man vs. Wild	PS3, Wii, X360		
Apr	27/04/2011		Hector: Badge of Carnage - Episode 1	Win		
Apr	27/04/2011		Outland	XBLA		
Apr	28/04/2011		Zenonia 3	iOS		
May	03/05/2011		Mount&Blade: With Fire & Sword	Win		
May	03/05/2011		MotorStorm: Apocalypse	PS3		
May	03/05/2011		Thor: God of Thunder	X360, PS3, Wii, NDS		
May	04/05/2011		First Touch Soccer	iOS		
May	09/05/2011		Mighty Milky Way	DSiWare		
May	10/05/2011		Brink	Win, PS3, X360		
May	10/05/2011		Dream Trigger 3D	3DS		
May	10/05/2011		The First Templar	Win, X360		
May	10/05/2011		Lego Pirates of the Caribbean: The Video Game	3DS, X360, PS3, Wii, PSP, NDS		
May	10/05/2011		Hydrophobia Prophecy	Win		
May	10/05/2011		MX vs. ATV Alive	X360, PS3		
May	10/05/2011		Virtua Tennis 4	X360, PS3, Wii		
May	10/05/2011		Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus	NDS		
May	11/05/2011		Gatling Gears	XBLA		
May	16/05/2011		Terraria	Win		
May	17/05/2011		Battle vs. Chess	Win, NDS, PS3, PSP, Wii, X360		
May	17/05/2011		Deathsmiles II	X360		
May	17/05/2011		Fable III	Win		
May	17/05/2011		L.A. Noire	PS3, X360		
May	17/05/2011		SpongeBob SquigglePants	3DS		
May	17/05/2011		The Witcher 2: Assassins of Kings	Win		
May	18/05/2011		Sega Rally Online Arcade	XBLA		
May	19/05/2011		TNA Wrestling Impact!	Droid, iOS		
May	24/05/2011		Dead or Alive: Dimensions	3DS		
May	24/05/2011		Dirt 3	Win, X360, PS3		
May	24/05/2011		Lego Pirates of the Caribbean: The Video Game	Win		
May	24/05/2011		Kung Fu Panda 2	PS3, X360, Wii, NDS		
May	26/05/2011		Frozen Synapse	Win		
May	28/05/2011		Akane the Kunoichi	X360		
May	30/05/2011		FAST - Racing League	WiiWare		
May	31/05/2011		BlazBlue: Continuum Shift II	3DS		
May	31/05/2011		Hunted: The Demon's Forge	Win, PS3, X360		
May	31/05/2011		The Sims 3: Generations	Win, Mac		
Jun	01/06/2011		Days of Thunder	PSP		
Jun	02/06/2011		Armageddon Riders	PSN		
Jun	02/06/2011		Feed Me Oil	iOS		
Jun	02/06/2011		Under Siege	PS3		
Jun	06/06/2011		Duke Nukem: Critical Mass	NDS		
Jun	07/06/2011		3D Classics: Excitebike	3DS		
Jun	07/06/2011		Cartoon Network: Punch Time Explosion	3DS		
Jun	07/06/2011		Green Lantern: Rise of the Manhunters	PS3, X360, Wii, NDS, 3DS		
Jun	07/06/2011		inFamous 2	PS3		
Jun	07/06/2011		Operation Flashpoint: Red River	Win, X360, PS3		
Jun	07/06/2011		Red Faction: Armageddon	Win, X360, PS3		
Jun	08/06/2011		Jamestown: Legend of the Lost Colony	Win		
Jun	09/06/2011		Dreamscape	iOS		
Jun	10/06/2011		Zoo Keeper	iOS		
Jun	13/06/2011		Wii Play: Motion	Wii		
Jun	14/06/2011		Alice: Madness Returns	Win, PS3, X360		
Jun	14/06/2011		Child of Eden	X360		
Jun	14/06/2011		Cubic Ninja	3DS		
Jun	14/06/2011		Duke Nukem Forever	Win, PS3, X360		
Jun	14/06/2011		Outland	PSN		
Jun	14/06/2011		Transformers: Dark of the Moon	X360, PS3, Wii, NDS, 3DS		
Jun	14/06/2011		Wipeout in the Zone	X360		
Jun	15/06/2011		Akimi Village	PSN		
Jun	16/06/2011		Sodium 2: Project Velocity	PSN		
Jun	18/06/2011		Sonic & Sega All-Stars Racing	iOS		
Jun	19/06/2011		The Legend of Zelda: Ocarina of Time 3D	3DS		
Jun	21/06/2011		Alien Zombie Megadeath	Win, PS3		
Jun	21/06/2011		Cars 2	Win, X360, PS3, Wii, NDS, 3DS, PSP		
Jun	21/06/2011		DualPenSports	3DS		
Jun	21/06/2011		Dungeon Siege III	Win, X360, PS3		
Jun	21/06/2011		F.E.A.R. 3	Win, X360, PS3		
Jun	21/06/2011		Shadows of the Damned	PS3, X360		
Jun	22/06/2011		Lucha Fury	XBLA		
Jun	25/06/2011		The Adventures of Shuggy	XBLA		
Jun	28/06/2011		Beyond Good & Evil HD	PSN		
Jun	28/06/2011		Dynasty Warriors: Gundam 3	PS3, X360		
Jun	28/06/2011		Gatling Gears	PSN		
Jun	28/06/2011		Reel Fishing Paradise 3D	3DS		
Jun	28/06/2011		Resident Evil: The Mercenaries 3D	3DS		
Jun	28/06/2011		Sniper: Ghost Warrior	PS3		
Jun	29/06/2011		Backbreaker: Vengeance	XBLA		
Jun	29/06/2011		Galaga Legions DX	XBLA		
Jun	29/06/2011		Half-Minute Hero: Super Mega Neo Climax	X360		
Jun	30/06/2011		Ascension: Chronicle of the Godslayer	iOS		
Jun	30/06/2011		James Pond in the Deathly Shallows	iOS		
Jul	05/07/2011		Earth Defense Force: Insect Armageddon	PS3, X360		
Jul	05/07/2011		PlayStation Move Ape Escape	PS3		
Jul	07/07/2011		Deathsmiles	iOS		
Jul	07/07/2011		The King of Fighters-i	iOS		
Jul	07/07/2011		Wicked Monsters Blast!	Wii		
Jul	11/07/2011		Ms. Splosion Man	XBLA		
Jul	12/07/2011		Harry Potter and the Deathly Hallows – Part 2	Win, X360, PS3, Wii, NDS		
Jul	12/07/2011		Mighty Flip Champs! DX	PSN		
Jul	12/07/2011		NCAA Football 12	X360, PS3		
Jul	14/07/2011		Puyo Puyo!! 20th Anniversary	PSP, Wii, NDS, 3DS		
Jul	14/07/2011		Call of Juarez: The Cartel	PS3, X360		
Jul	14/07/2011		Captain America: Super Soldier	X360, PS3, Wii, NDS		
Jul	19/07/2011		Final Fantasy Tactics: The War of the Lions	PSP		
Jul	19/07/2011		Just Dance: Summer Party	Wii		
Jul	19/07/2011		Limbo	PSN		
Jul	19/07/2011		The Smurfs Dance Party	Wii		
Jul	20/07/2011		Bastion	XBLA		
Jul	21/07/2011		3D Classics: Xevious	3DS		
Jul	23/07/2011		Galaga 30th Collection	iOS		
Jul	26/07/2011		Catherine	PS3, X360		
Jul	26/07/2011		Pac-Man & Galaga Dimensions	3DS		
Jul	26/07/2011		The Sims 3 Town Life Stuff	Mac, Win		
Jul	27/07/2011		Cordy	iOS		
Jul	27/07/2011		From Dust	XBLA		
Jul	28/07/2011		Groove Coaster	iOS		
Jul	30/07/2011		Chantelise – A Tale of Two Sisters	Win		
Aug	02/08/2011		Bleach: Soul Resurrección	PS3		
Aug	02/08/2011		Galaga Legions DX	PSN		
Aug	02/08/2011		Limbo	Win		
Aug	03/08/2011		Insanely Twisted Shadow Planet	XBLA		
Aug	03/08/2011		Serious Sam Double D	Win		
Aug	04/08/2011		Shift 2: Unleashed	iOS		
Aug	04/08/2011		Temple Run	iOS		
Aug	11/08/2011		Anomaly: Warzone Earth	iOS		
Aug	11/08/2011		Go! Go! Kokopolo - Harmonious Forest Revenge	DSiWare		
Aug	11/08/2011		One Epic Game	iOS, PSN, PSP		
Aug	11/08/2011		Strong Bad's Cool Game for Attractive People: Episode 1 - Homestar Ruiner	Win, Wii		
Aug	16/08/2011		Age of Empires Online	Win		
Aug	16/08/2011		Bastion	Win		
Aug	16/08/2011		El Shaddai: Ascension of the Metatron	PS3, X360		
Aug	16/08/2011		No More Heroes: Heroes' Paradise	PS3		
Aug	17/08/2011		From Dust	Win		
Aug	17/08/2011		Konami Krazy Racers	Droid		
Aug	17/08/2011		Toy Soldiers: Cold War	Win, X360		
Aug	18/08/2011		3D Classics: Urban Champion	Win, 3DS		
Aug	18/08/2011		Duke Nukem Forever	Mac		
Aug	18/08/2011		Flight Control	WiiWare		
Aug	23/08/2011		Deus Ex: Human Revolution	Win, PS3, X360		
Aug	23/08/2011		Hysteria Project 2	PSN		
Aug	23/08/2011		Shin Megami Tensei: Devil Survivor Overclocked	3DS		
Aug	25/08/2011		Hector: Badge of Carnage - Episode 2	Win, iOS		
Aug	25/08/2011		Spy Mouse	iOS, Droid, WP		
Aug	26/08/2011		Rugby World Cup 2011	X360, PS3		
Aug	29/08/2011		Achron	Win, Mac, Lin		
Aug	30/08/2011		Bodycount	PS3, X360		
Aug	30/08/2011		Driver: Renegade 3D	3DS		
Aug	30/08/2011		Gatling Gears	Win		
Aug	30/08/2011		Madden NFL 12	PS2, PS3, PSP, X360, Wii, iOS		
Aug	30/08/2011		Mortal Kombat Arcade Kollection	PSN		
Aug	30/08/2011		The Baconing	PSN		
Aug	30/08/2011		Tropico 4	Win		
Aug	30/08/2011		Ugly Americans: Apocalypsegeddon	PSN		
Aug	31/08/2011		Mortal Kombat Arcade Kollection	XBLA		
Aug	31/08/2011		Rock of Ages	Win, XBLA, PSN		
Aug	31/08/2011		The Baconing	XBLA		
Aug	31/08/2011		Ugly Americans: Apocalypsegeddon	XBLA		
Sep	01/09/2011		Wasteland Angel	Win		
Sep	06/09/2011		Alpha Mission	PS3, PSP		
Sep	06/09/2011		BloodRayne: Betrayal	PS3		
Sep	06/09/2011		Dawn of Fantasy	Win		
Sep	06/09/2011		Dead Island	Win, X360, PS3		
Sep	06/09/2011		Disgaea 4: A Promise Unforgotten	PS3		
Sep	06/09/2011		Driver: San Francisco	PS3, X360, Wii		
Sep	06/09/2011		Mega Man 4	PSN		
Sep	06/09/2011		Resistance 3	PS3		
Sep	06/09/2011		Rise of Nightmares	X360		
Sep	06/09/2011		Techno Kitten Adventure	XBLA		
Sep	06/09/2011		Warhammer 40,000: Space Marine	Win, X360, PS3		
Sep	07/09/2011		BloodRayne: Betrayal	XBLA		
Sep	07/09/2011		Crimson Alliance	XBLA		
Sep	08/09/2011		Grand Prix Story	iOS		
Sep	09/09/2011		Star Fox 64 3D	3DS		
Sep	12/09/2011		Rise of Immortals	Win		
Sep	13/09/2011		Bit.Trip Saga	3DS		
Sep	13/09/2011		Call of Juarez: The Cartel	Win		
Sep	13/09/2011		God of War: Origins Collection	PS3		
Sep	13/09/2011		Harvest Moon: The Tale of Two Towns	NDS		
Sep	13/09/2011		Hard Reset	Win		
Sep	13/09/2011		NHL 12	PS3, X360		
Sep	13/09/2011		Nicktoons MLB	X360, Wii, NDS		
Sep	13/09/2011		Pucca Power Up	NDS		
Sep	13/09/2011		Red Orchestra 2: Heroes of Stalingrad	Win		
Sep	13/09/2011		Sengoku: Way of the Warrior	Win		
Sep	13/09/2011		The Gunstringer	X360		
Sep	13/09/2011		Thor: God of Thunder	3DS		
Sep	13/09/2011		White Knight Chronicles II	PS3		
Sep	14/09/2011		Radiant Silvergun	XBLA		
Sep	14/09/2011		Renegade Ops	XBLA		
Sep	14/09/2011		TrackMania 2: Canyon	Win		
Sep	15/09/2011		Monsters Ate My Condo	iOS		
Sep	19/09/2011		Dragon Quest Monsters: Joker 2	NDS		
Sep	19/09/2011		Kirby Mass Attack	NDS		
Sep	20/09/2011		Burnout Crash!	PSN		
Sep	20/09/2011		Frogger 3D	Nintendo 3DS		
Sep	20/09/2011		Gears of War 3	X360		
Sep	20/09/2011		F1 2011	Win, X360, PS3		
Sep	20/09/2011		Persona 2: Innocent Sin	PSP		
Sep	20/09/2011		Resident Evil 4 HD	PS3, X360		
Sep	21/09/2011		Burnout Crash!	XBLA		
Sep	22/09/2011		3D Classics: TwinBee	3DS		
Sep	22/09/2011		Hector: Badge of Carnage - Episode 3	Win, iOS		
Sep	23/09/2011		Pinball Hall of Fame: The Williams Collection	3DS		
Sep	26/09/2011		Nuclear Dawn	Win, Mac		
Sep	27/09/2011		Atelier Totori: Alchemist of Arland 2	PS3		
Sep	27/09/2011		Brunswick Pro Bowling	3DS		
Sep	27/09/2011		Child of Eden	PS3		
Sep	27/09/2011		Driver: San Francisco	Win		
Sep	27/09/2011		FIFA 12	Win, PS3, X360, Wii, PS2, PSP, 3DS, iOS		
Sep	27/09/2011		The Ico & Shadow of the Colossus Collection	PS3		
Sep	27/09/2011		Pro Evolution Soccer 2012	Win, PS3, X360, Wii, PSP, 3DS, PS2		
Sep	27/09/2011		Resident Evil Code: Veronica X	PS3, X360		
Sep	27/09/2011		Rune Factory: Tides of Destiny	PS3, Wii		
Sep	27/09/2011		Solatorobo: Red the Hunter	NDS		
Sep	27/09/2011		Tom Clancy's Splinter Cell Classic Trilogy HD[10]	PS3		
Sep	27/09/2011		X-Men: Destiny	PS3, Wii, X360, NDS		
Sep	28/09/2011		The Binding of Isaac	Win		
Sep	28/09/2011		Worms Ultimate Mayhem	Win, XBLA		
Sep	29/09/2011		A Game of Thrones: Genesis	Win		
Sep	29/09/2011		Katamari Amore	iOS		
Sep	29/09/2011		Shadowgun	iOS		
Sep	29/09/2011		Wizorb	XBLA		
Oct	02/10/2011		Tetris: Axis	3DS		
Oct	04/10/2011		Dark Souls	PS3, X360		
Oct	04/10/2011		Eufloria	PSN		
Oct	04/10/2011		God Hand	PSN		
Oct	04/10/2011		NBA 2K12	Win, PS3, X360, Wii, PSP, PS2		
Oct	04/10/2011		Rage	Win, PS3, X360		
Oct	04/10/2011		Space Channel 5: Part 2	PSN		
Oct	04/10/2011		Spider-Man: Edge of Time	X360, PS3, Wii, NDS, 3DS		
Oct	05/10/2011		Orcs Must Die!	XBLA		
Oct	07/10/2011		Just Dance 3	Wii, PS3, X360		
Oct	11/10/2011		Ace Combat: Assault Horizon	PS3, X360		
Oct	11/10/2011		Aliens Infestation	NDS		
Oct	11/10/2011		Dead Rising 2: Off the Record	Win, PS3, X360		
Oct	11/10/2011		Forza Motorsport 4	X360		
Oct	11/10/2011		Hulk Hogan's Main Event	X360		
Oct	11/10/2011		Scribblenauts Remix	iOS		
Oct	11/10/2011		Sesame Street: Once Upon a Monster	X360		
Oct	12/10/2011		Guardian Heroes	XBLA		
Oct	12/10/2011		MDK2 HD	Win		
Oct	12/10/2011		Orcs Must Die!	Win		
Oct	13/10/2011		Might and Magic Heroes VI	Win		
Oct	16/10/2011		Skylanders: Spyro's Adventure	Win, 3DS, PS3, Wii, X360		
Oct	18/10/2011		Batman: Arkham City	PS3, X360		
Oct	18/10/2011		Beat Hazard Ultra	PS3		
Oct	18/10/2011		Ben 10: Galactic Racing	PS3, X360, NDS, Wii, 3DS		
Oct	18/10/2011		Dungeon Defenders	PSN		
Oct	18/10/2011		Everybody Dance	PS3		
Oct	18/10/2011		JASF: Jane's Advanced Strike Fighters	Win, PS3, X360		
Oct	18/10/2011		Okabu	PS3		
Oct	18/10/2011		Payday: The Heist	PSN		
Oct	18/10/2011		PowerUp Heroes	X360		
Oct	18/10/2011		Ratchet & Clank: All 4 One	PS3		
Oct	18/10/2011		Rocketbirds: Hardboiled Chicken	PS3		
Oct	18/10/2011		Rocksmith	PS3, X360		
Oct	18/10/2011		The Sims 3: Pets	Mac, Win		
Oct	18/10/2011		Tropico 4	X360		
Oct	19/10/2011		Dungeon Defenders	Win, XBLA		
Oct	20/10/2011		Payday: The Heist	Win		
Oct	20/10/2011		Cities XL 2012	Win		
Oct	20/10/2011		Fruit Ninja: Puss in Boots	iOS		
Oct	20/10/2011		Rugby Challenge	Win, PS3, X360		
Oct	21/10/2011		Football Manager 2012	Win, Mac		
Oct	21/10/2011		FIFA Manager 12	Win		
Oct	24/10/2011		Kirby's Return to Dream Land	Wii		
Oct	24/10/2011		Serious Sam: The Random Encounter	Win		
Oct	25/10/2011		Arcania: Fall of Setarrif	Win		
Oct	25/10/2011		Battlefield 3	Win, PS3, X360		
Oct	25/10/2011		Blackwater	X360		
Oct	25/10/2011		Captain America: Super Soldier	3DS		
Oct	25/10/2011		Centipede: Infestation	Wii		
Oct	25/10/2011		The Cursed Crusade	Win, PS3, X360		
Oct	25/10/2011		Dance Central 2	X360		
Oct	25/10/2011		Disney Universe	Win, Mac, Wii, PS3, X360		
Oct	25/10/2011		Infamous: Festival of Blood	PS3		
Oct	25/10/2011		Invizimals: Shadow Zone	PSP		
Oct	25/10/2011		Just Dance Kids 2	PS3, Wii, X360		
Oct	25/10/2011		PixelJunk SideScroller	PS3		
Oct	25/10/2011		Puss in Boots	PS3, NDS, Wii, X360		
Oct	25/10/2011		Stronghold 3	Win		
Oct	25/10/2011		House of the Dead: Overkill	PS3		
Oct	26/10/2011		Shadowgun	Win		
Oct	26/10/2011		Renegade Ops	Win		
Oct	27/10/2011		Modern Combat 3: Fallen Nation	iOS		
Oct	27/10/2011		Shantae: Risky's Revenge	iOS		
Oct	28/10/2011		Sword of the Stars II: The Lords of Winter	Win		
Nov	01/11/2011		Cars 2	3DS		
Nov	01/11/2011		Cabela's Adventure Camp	PS3, Wii, X360		
Nov	01/11/2011		Cabela's Survival: Shadows of Katmai	Wii, PS3, X360		
Nov	01/11/2011		Centipede: Infestation	3DS		
Nov	01/11/2011		Disney Princess: Enchanting Storybooks	NDS, Wii		
Nov	01/11/2011		GoldenEye 007 Reloaded	PS3, X360		
Nov	01/11/2011		Harvest Moon: The Tale of Two Towns	3DS		
Nov	01/11/2011		Hydrophobia Prophecy	PS3		
Nov	01/11/2011		James Noir's Hollywood Crimes	3DS		
Nov	01/11/2011		Jimmie Johnson's Anything with an Engine	PS3, Wii, X360		
Nov	01/11/2011		The Lord of the Rings: War in the North	Win, PS3, X360		
Nov	01/11/2011		NASCAR Unleashed	PS3, X360, 3DS, Wii		
Nov	01/11/2011		Pac-Man Party 3D	3DS		
Nov	01/11/2011		Raving Rabbids: Alive & Kicking	X360		
Nov	01/11/2011		Sonic Generations	PS3, X360		
Nov	01/11/2011		Team Umizoomi	NDS		
Nov	01/11/2011		To the Moon	Win		
Nov	01/11/2011		Twister Mania	X360		
Nov	01/11/2011		Uncharted 3: Drake's Deception	PS3		
Nov	02/11/2011		BurgerTime: World Tour	XBLA		
Nov	02/11/2011		Escape Goat	Win, XBLA		
Nov	04/11/2011		Sonic Generations	Win		
Nov	04/11/2011		Stealth Bastard	Win		
Nov	08/11/2011		Call of Duty: Modern Warfare 3	Win, PS3, X360, Wii		
Nov	08/11/2011		Call of Duty: Modern Warfare 3: Defiance	NDS		
Nov	08/11/2011		Cars 2	PSP		
Nov	08/11/2011		Cave Story 3D	3DS		
Nov	08/11/2011		Deepak Chopra's Leela	Wii, X360		
Nov	08/11/2011		Happy Feet Two: The Video Game	3DS, NDS, PS3, Wii, X360		
Nov	08/11/2011		L.A. Noire	Win		
Nov	08/11/2011		Max & the Magic Marker	NDS		
Nov	08/11/2011		Metal Gear Solid HD Collection[11]	PS3, X360		
Nov	08/11/2011		Michael Jackson: The Experience	3DS		
Nov	08/11/2011		Nickelodeon Dance	Wii, X360		
Nov	08/11/2011		Otomedius Excellent	X360		
Nov	08/11/2011		Self-Defense Training Camp	X360		
Nov	08/11/2011		SpongeBob's Surf & Skate Roadtrip	NDS, X360		
Nov	08/11/2011		The Black Eyed Peas Experience	X360		
Nov	10/11/2011		Freakyforms: Your Creations, Alive!	3DS		
Nov	10/11/2011		Gangstar Rio: City of Saints	iOS		
Nov	11/11/2011		The Elder Scrolls V: Skyrim	Win, PS3, X360		
Nov	11/11/2011		Lego Harry Potter: Years 5–7	Win, X360, PS3, PSP, Wii, NDS, 3DS, iOS		
Nov	13/11/2011		Super Mario 3D Land	3DS		
Nov	15/11/2011		ABBA: You Can Dance	Wii		
Nov	15/11/2011		Alvin and the Chipmunks: Chipwrecked	NDS, Wii, X360		
Nov	15/11/2011		Assassin's Creed: Revelations	PS3, X360		
Nov	15/11/2011		Beyblade: Metal Masters	NDS		
Nov	15/11/2011		BurgerTime World Tour	PS3		
Nov	15/11/2011		Carnival Island	PS3		
Nov	15/11/2011		Cartoon Network: Punch Time Explosion XL	Wii, PS3, X360		
Nov	15/11/2011		Dynasty Warriors 7: Xtreme Legends	Win, PS3		
Nov	15/11/2011		Fossil Fighters: Champions	NDS		
Nov	15/11/2011		Halo: Combat Evolved Anniversary	X360		
Nov	15/11/2011		Jurassic Park: The Game	Win, PS3, X360		
Nov	15/11/2011		Kinect Disneyland Adventures	X360		
Nov	15/11/2011		Kung-Fu High Impact	X360		
Nov	15/11/2011		Mario & Sonic at the London 2012 Olympic Games	Wii		
Nov	15/11/2011		Marvel Super Hero Squad: Comic Combat	PS3, Wii, X360		
Nov	15/11/2011		Medieval Moves: Deadmund's Quest	PS3		
Nov	15/11/2011		Need for Speed: The Run	Win, PS3, Wii, X360, 3DS		
Nov	15/11/2011		DreamWorks Super Star Kartz	3DS, NDS, PS3, Wii, X360		
Nov	15/11/2011		Rayman Origins	PS3, X360, Wii		
Nov	15/11/2011		Rochard	Win		
Nov	15/11/2011		Saints Row: The Third	Win, X360, PS3		
Nov	15/11/2011		Shinobi	3DS		
Nov	15/11/2011		Ultimate Marvel vs. Capcom 3	PS3, X360		
Nov	16/11/2011		Cooking Mama 4: Kitchen Magic	3DS		
Nov	17/11/2011		3D Classics: Kirby's Adventure	3DS		
Nov	17/11/2011		Anno 2070	Win		
Nov	17/11/2011		Minecraft	iOS		
Nov	18/11/2011		Minecraft	Win, Lin, Mac		
Nov	20/11/2011		The Legend of Zelda: Skyward Sword	Wii		
Nov	21/11/2011		Fate/Extra	PSP		
Nov	22/11/2011		Batman: Arkham City	Win		
Nov	22/11/2011		Cave Story+	Win		
Nov	22/11/2011		Corpse Party	PSP		
Nov	22/11/2011		The King of Fighters XIII	PS3, X360		
Nov	22/11/2011		Serious Sam 3: BFE	Win		
Nov	22/11/2011		Sonic Generations	3DS		
Nov	22/11/2011		Tekken Hybrid	PS3		
Nov	22/11/2011		WWE 12	PS3, Wii, X360		
Nov	22/11/2011		WWE All Stars	3DS		
Nov	25/11/2011		Afterfall: InSanity	Win, X360, PS3		
Nov	25/11/2011		F1 2011	3DS		
Dec	01/12/2011		Assassin's Creed: Revelations	Win		
Dec	01/12/2011		Infinity Blade II	iOS		
Dec	04/12/2011		Mario Kart 7	3DS		
Dec	05/12/2011		Fortune Street	Wii		
Dec	06/12/2011		Defenders of Ardania	iOS		
Dec	06/12/2011		Doctor Lautrec and the Forgotten Knights	3DS		
Dec	06/12/2011		Face Racers: Photo Finish	3DS		
Dec	06/12/2011		Final Fantasy VI	PSN		
Dec	06/12/2011		The Adventures of Tintin: The Game	Win, PS3, X360, Wii, 3DS		
Dec	06/12/2011		The Oregon Trail	3DS, Wii		
Dec	06/12/2011		Wanted Corp	PSN		
Dec	07/12/2011		Batman: Arkham City Lockdown	iOS		
Dec	07/12/2011		Michael Jackson: The Experience	iOS		
Dec	07/12/2011		Trine 2	Win, Mac		
Dec	08/12/2011		Chrono Trigger	iOS		
Dec	08/12/2011		Pushmo	3DS		
Dec	09/12/2011		Shake It Up	Wii		
Dec	13/12/2011		FlatOut 3: Chaos & Destruction	Win		
Dec	13/12/2011		Outdoors Unleashed: Africa 3D	3DS		
Dec	15/12/2011		Earth Defense Force: Insect Armageddon	Win		
