Month	Date	Status	Title	Platform(s)	Genre(s)	Publisher(s)
Jul	30/07/1997		Carmageddon	Win, PS1 (1999), N64 (2000), GBC (2000), 		
Jul	31/07/1997		F-1 World Grand Prix	N64	Racing	
Jul	31/07/1997		Heart of Darkness	Win	Platform	
Jul	31/07/1997		Iggy's Reckin' Balls	N64	Racing	
Jul	31/07/1997		Herc's Adventures	PS1, Sat, 		
Jul	31/07/1997		Warlords III: Reign of Heroes	Win, 		
Aug	01/08/1997		Gex: Enter the Gecko	N64	Platform	
Aug	01/08/1997		Pokémon Stadium	N64	Role-playing	
Aug	01/08/1997		Mega Man X4	Win (1999), PS1, Sat, 		
Aug	06/08/1997		Resident Evil: Director's Cut – Dual Shock Version	PS1	Survival horror	
Aug	06/08/1997		Wachenröder	Sat	Tactical role-playing	
Aug	11/08/1997		WWF War Zone	N64	Sports (professional wrestling)	
Aug	11/08/1997		Tetrisphere	N64, 		
Aug	21/08/1997		Tom Clancy's Rainbow Six	Win	Tactical shooter	
Aug	25/08/1997		GoldenEye 007	N64, 		
Aug	27/08/1997		Black/Matrix	Sat	Tactical role-playing	
Aug	31/08/1997		Hexen II	Win, 		
Aug	31/08/1997		Imperialism	Win, 		
Sep	03/09/1997		Metal Gear Solid	PS1	Action-adventure, stealth	
Sep	09/09/1997		NASCAR 99	N64	Racing	
Sep	09/09/1997		NFL Blitz	N64	Sports (football)	
Sep	10/09/1997		NFL Blitz	PS1	Sports (football)	
Sep	10/09/1997		Spyro the Dragon	PS1	Platform	
Sep	10/09/1997		Silhouette Mirage	Sat, PS1 (1998), 		
Sep	11/09/1997		Breath of Fire III	PS1, 		
Sep	12/09/1997		Pokémon Yellow	GB	Role-playing	
Sep	17/09/1997		Suikoden	Sat	Role-playing	
Sep	18/09/1997		Street Fighter Collection	Sat, PS1 (October 23), 		
Sep	19/09/1997		Oddworld: Abe's Oddysee	Win, PS1, 		
Sep	23/09/1997		Digital Monster Version S: Digimon Tamers	Sat	Virtual pet	
Sep	23/09/1997		Madden NFL 99	N64	Sports (football)	
Sep	23/09/1997		Shining Force III Scenario 3 – Bulzome Rising	Sat	Tactical role-playing	
Sep	24/09/1997		Ultima Online	Win, 		
Sep	25/09/1997		Dragon Warrior Monsters	GBC	Role-playing	
Sep	26/09/1997		Dance Dance Revolution	Arcade	Music	
Sep	29/09/1997		Croc: Legend of the Gobbos	PS1, Sat, 		
Sep	30/09/1997		Body Harvest	N64	Action-adventure	
Sep	30/09/1997		Caesar III	Win	City-building	
Sep	30/09/1997		Delta Force	Win	Tactical shooter	
Sep	30/09/1997		Gex: Enter the Gecko	Win	Platform	
Sep	30/09/1997		NHL 99	PS1, Win	Sports (ice hockey)	
Sep	30/09/1997		Rogue Trip: Vacation 2012	PS1	Vehicular combat	
